x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
1	0																																					
2	0	0																																				
3	12.18828	11.17901	0																																			
4	12.1658	12.17367	8.0933	0																																		
5	15.29224	15.30288	9.13523	11.17121	0																																	
6	13.2178	12.20788	0.75423	7.58059	10.16021	0																																
7	2.03931	2.04518	6.11402	2.00987	8.19096	6.37245	0																															
8	11.6706	11.67864	7.59633	0	10.16135	7.0833	1.26046	0																														
9	10.33575	10.34416	6.25989	0.8331	9.34129	5.74654	1.52853	0.50092	0																													
10	0	0.00031	12.2038	12.18033	15.3117	13.23462	2.05044	11.68547	10.35095	0																												
11	13.18247	13.19129	9.10705	5.02561	10.13088	8.5937	4.03612	4.02037	2.17705	13.19766	0																											
12	12.19534	11.18621	0.00337	8.0987	9.14145	1.00877	6.12222	7.6019	6.26541	12.21119	9.11216	0																										
13	16.30271	16.31321	12.20162	6.04456	13.23573	11.68372	1.00246	4.53342	5.56277	16.32251	7.05295	12.20963	0																									
14	15.28302	15.29319	9.12878	11.16489	0.00031	10.15313	8.18188	10.15519	9.33444	15.30215	10.12491	9.13516	13.22811	0																								
15	12.1658	12.17367	8.0933	0	11.17121	7.58059	2.00987	0	0.8331	12.18033	5.02561	8.0987	6.04456	11.16489	0																							
16	12.1658	12.17367	8.0933	0	11.17121	7.58059	2.00987	0	0.8331	12.18033	5.02561	8.0987	6.04456	11.16489	0	0																						
17	15.23394	14.22355	2.00641	11.12705	12.17491	3.01647	9.16346	10.63088	9.29546	15.25109	12.14302	3.01762	15.2483	12.16735	11.12705	11.12705	0																					
18	13.18247	12.17367	0.4987	9.0904	10.13088	2.00718	7.10769	8.59327	7.25646	13.19766	10.10321	1.00494	13.1961	10.12491	9.0904	9.0904	4.01571	0																				
19	11.17541	11.18361	7.09936	1.00246	8.63764	6.58601	1.01725	-0.00093	0.50453	11.1906	3.01512	7.10509	3.02228	9.1455	1.00246	1.00246	10.13471	8.09614	0																			
20	13.1961	13.20463	7.07265	9.10075	2.00801	8.09059	7.12357	8.60394	7.26704	13.21194	10.11296	7.07741	13.21162	2.00739	9.10075	9.10075	10.10321	8.0704	8.10713	0																		
21	16.30271	16.31321	12.20162	6.04456	13.23573	11.68372	1.00246	4.53342	5.56277	16.32251	7.05295	12.20963	2.00492	13.22811	6.04456	6.04456	15.2483	13.1961	3.02228	13.21162	0																	
22	16.30271	16.31321	10.14229	12.18001	0	11.16792	9.20192	11.16999	10.35021	16.32251	11.13809	10.14899	14.24584	1.00246	12.18001	12.18001	13.18247	11.13809	9.13225	3.01108	14.24584	0																
23	13.1961	13.20463	8.85926	1.00123	12.20217	8.34623	3.03321	1.00308	1.84218	13.21194	6.03802	9.12256	7.06074	12.1952	1.00123	1.00123	11.12705	10.11296	2.00987	10.12459	7.06074	13.21162	0															
24	12.1658	12.17367	8.0933	0	11.17121	7.58059	2.00987	0	0.8331	12.18033	5.02561	8.0987	6.04456	11.16489	0	0	11.12705	9.0904	1.00246	9.10075	6.04456	12.18001	1.00123	0														
25	12.1658	12.17367	8.0933	0	11.17121	7.58059	2.00987	0	0.8331	12.18033	5.02561	8.0987	6.04456	11.16489	0	0	11.12705	9.0904	1.00246	9.10075	6.04456	12.18001	1.00123	0	0													
26	10.15177	10.1598	6.08135	0	8.13095	5.56897	0.50285	-0.50231	-1.00752	10.16599	1.00556	6.08629	4.03343	8.12513	0	0	9.11461	7.07831	-0.50339	7.08772	4.03343	9.13863	1.00556	0	0	0												
27	11.20496	11.21382	7.12169	1.00745	9.17385	6.60703	-1.01472	0.00095	0.51417	11.22147	3.01888	7.12808	1.00246	9.1672	1.00745	1.00745	10.16031	8.11781	-1.00554	8.1301	1.00246	10.18298	2.01739	1.00745	1.00745	-0.50027	0											
28	11.19743	11.20618	7.7984	1.00743	9.51205	7.2831	-0.67327	0.00125	0.96085	11.21372	3.35405	7.8051	1.67573	9.50529	1.00743	1.00743	10.8386	8.79419	-0.67078	8.80712	1.67573	10.52128	2.01695	1.00743	1.00743	-0.3329	-1.34405	0										
29	16.30271	16.31321	10.14229	12.18001	1.00246	11.16792	9.20192	11.16999	10.35021	16.32251	11.13809	10.14899	14.24584	1.00246	12.18001	12.18001	13.18247	11.13809	10.15996	3.01108	14.24584	2.00492	13.21162	12.18001	12.18001	9.13863	10.18298	10.52128	0									
30	13.17072	13.17984	11.14846	3.00738	14.23943	10.63317	4.02597	3.0111	3.85704	13.18526	8.05788	11.15392	9.08193	14.23057	3.00738	3.00738	14.18988	12.14302	4.02223	12.15346	9.08193	15.2483	4.01354	3.00738	3.00738	3.01731	4.03229	4.03144	15.2483	0								
31	13.1961	13.20463	9.11651	3.01108	10.14286	8.60251	2.02331	1.50554	2.51545	13.21194	4.01571	9.12256	3.01108	10.13718	3.01108	3.01108	12.15346	10.11296	0	10.12459	3.01108	11.151	4.01974	3.01108	3.01108	1.00184	-0.00744	-0.00621	11.151	6.03335	0							
32	0	0	12.18828	12.1658	15.29224	13.2178	2.03931	11.6706	10.33575	0	13.18247	12.19534	16.30271	15.28302	12.1658	12.1658	15.23394	13.18247	11.17541	13.1961	16.30271	16.30271	13.1961	12.1658	12.1658	10.15177	11.20496	11.19743	16.30271	13.17072	13.1961	0						
33	12.16735	11.15888	0.00026	8.07979	9.11802	1.00317	6.09095	7.58234	6.24521	12.18189	9.09196	0.00186	12.18033	9.11238	8.07979	8.07979	3.01139	1.00246	7.08489	7.06106	12.18033	10.12491	9.10107	8.07979	8.07979	6.06802	7.10525	7.78101	10.12491	11.12984	9.10107	12.16735	0					
34	12.1658	12.17367	8.0933	0	11.17121	7.58059	2.00987	0	0.8331	12.18033	5.02561	8.0987	6.04456	11.16489	0	0	11.12705	9.0904	1.00246	9.10075	6.04456	12.18001	1.00123	0	0	0	1.00745	1.00743	12.18001	3.00738	3.01108	12.1658	8.07979	0				
35	11.14691	11.15436	7.07912	0.33374	10.1519	6.56727	1.66887	-0.00082	0.27494	11.16059	4.0186	7.0841	5.03504	10.14601	0.33374	0.33374	10.11075	8.07666	-0.00124	8.08616	5.03504	11.16026	1.33661	0.33374	0.33374	-0.3358	0.00207	0.44677	11.16026	3.34441	2.00656	11.14691	7.0669	0.33374	0			
36	0	0	12.18828	12.1658	15.29224	13.2178	2.03931	11.6706	10.33575	0	13.18247	12.19534	16.30271	15.28302	12.1658	12.1658	15.23394	13.18247	11.17541	13.1961	16.30271	16.30271	13.1961	12.1658	12.1658	10.15177	11.20496	11.19743	16.30271	13.17072	13.1961	0	12.16735	12.1658	11.14691	0		
37	15.26455	15.27438	9.11651	11.151	-0.00062	10.13956	8.16307	10.14163	9.3199	15.28302	10.11296	9.12256	13.21162	0	11.151	11.151	12.15346	10.11296	9.13225	2.00492	13.21162	1.00123	12.18001	11.151	11.151	8.11285	9.15266	9.49054	1.00123	14.21407	10.12459	15.26455	9.10107	11.151	10.13299	15.26455	0	
38	10.14227	10.14997	6.07537	0	9.14689	5.56362	1.00238	-0.25046	-1.00732	10.15584	2.01111	6.07998	5.0446	9.14075	0	0	9.10704	7.07265	0.00031	7.08142	5.0446	10.1549	1.00432	0	0	-1.5057	0.00593	0.34037	10.1549	3.01481	2.00925	10.14227	6.06299	0	-0.33498	10.14227	9.12783	0
